Nome,Bolsista,Doutorado,Professor
Renato Ramos da Silva ,NA,"Doutorado em Ciências da Computação e Matemática Computacional pela Universidade de São Paulo, Brasil(2013)",NA
Renato Vernaschi Lima ,NA,"Doutorado em Engenharia (Engenharia de Produção) pelo Departamento de Engenharia Mecânica, Brasil(2002)","Professor do Instituição Toledo de Ensino , Brasil"
João Paulo Pordeus Gomes ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Engenharia Eletrônica e Computação pelo Instituto Tecnológico de Aeronáutica, Brasil(2011)","Professor Adjunto da Universidade Federal do Ceará , Brasil"
Hudson Fernandes Golino ,NA,"Doutorado em Neurociências pela Universidade Federal de Minas Gerais, Brasil(2015)","Professor Adjunto da Universidade Salgado de Oliveira , Brasil"
Eraldo Luís Rezende Fernandes ,NA,"Doutorado em Informática pela Pontifícia Universidade Católica do Rio de Janeiro, Brasil(2012)","Professor da Universidade Federal de Mato Grosso do Sul , Brasil"
Michelle Chaves Kuroda ,NA,"Doutorado em Geociências pela Universidade Estadual de Campinas, Brasil(2016)",NA
Luciano Perdigao Cota ,"Bolsista de Doutorado FAPEMIG da Universidade Federal de Minas Gerais , Brasil","Doutorado em Engenharia Elétrica pela Universidade Federal de Minas Gerais, Brasil(2018)",NA
Walter Hugo Lopez Pinaya ,NA,"Doutorado em Neurociência e Cognição pela Universidade Federal do ABC, Brasil(2017)","Professor Adjunto A da Universidade Federal do ABC , Brasil"
Leandro Guimaraes Marques Alvim ,NA,"Doutorado em Informática pela Pontifícia Universidade Católica do Rio de Janeiro, Brasil(2013)","Professor Adjunto da Universidade Federal Rural do Rio de Janeiro , Brasil"
Klaus Raizer ,NA,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(2015)",NA
André Luis Debiaso Rossi ,NA,"Doutorado em Ciências da Computação e Matemática Computacional pela Universidade de São Paulo, Brasil(2013)","Professor Assistente Doutor da Universidade Estadual Paulista Júlio de Mesquita Filho , Brasil"
Jose Alberto Rodrigues Pereira Sardinha ,NA,"Doutorado em Informática pela Pontifícia Universidade Católica do Rio de Janeiro, Brasil(2005)",NA
Luciano Demetrio Santos Pacifico ,NA,"Doutorado em Ciências da Computação pela Universidade Federal de Pernambuco, Brasil(2016)","Professor Adjunto da Universidade Federal Rural de Pernambuco , Brasil"
Filipe Alves Neto Verri ,"Bolsista de Doutorado Direto da Fundação de Amparo à Pesquisa do Estado de São Paulo , Brasil","Doutorado em Ciências da Computação e Matemática Computacional pela Universidade de São Paulo, Brasil(2018)",NA
Gustavo Enrique de Almeida Prado Alves Batista ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Ciências da Computação e Matemática Computacional pela Universidade de São Paulo, Brasil(2003)","Associate Professor da Universidade de São Paulo , Brasil"
Cicero Nogueira dos Santos ,NA,"Doutorado em Informática pela Pontifícia Universidade Católica do Rio de Janeiro, Brasil(2009)",NA
Ricardo de Azambuja ,NA,"Doutorado em Computing pela Plymouth University, Inglaterra(2018)",NA
Sidney Nascimento Givigi Junior ,NA,"Doutorado em Electrical and Computer Engineering pela Carleton University, Canadá(2009)","Associate Professor do Royal Military College of Canada , Canadá"
Ernesto Coutinho Colla ,NA,"Doutorado em Economia de Empresas pela Fundação Getulio Vargas - SP, Brasil(2009)",NA
Fausto Guzzo da Costa ,NA,"Doutorado em Ciências da Computação e Matemática Computacional pela Universidade de São Paulo, Brasil(2017)",NA
Clodoaldo Aparecido de Moraes Lima ,NA,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(2004)","Professor Doutor da Universidade de São Paulo , Brasil"
Hugo Tanzarella Teixeira ,NA,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(2016)",NA
Marcelo Gaudenzi de Faria ,NA,"Doutorado em Automatique pelo Université de Franche-Comté, França(2016)",NA
Mauro Jacob Honorato ,NA,"Doutorado em Engenharia Elétrica pela Universidade Federal de Uberlândia, Brasil(2016)","Professor EBTT do Instituto Federal de São Paulo , Brasil"
Eduardo de Paula Costa ,NA,"Doutorado em Engenharia (especialidade pelo Katholieke Universiteit Leuven , Bélgica(2013)","Professor substituto da Universidade Estadual Paulista Júlio de Mesquita Filho , Brasil"
Oswaldo Luiz Humbert Fonseca ,NA,"Doutorado em Modelagem Computacional pela Universidade do Estado do Rio de Janeiro, Brasil(2008)",NA
Hendrigo Batista da Silva ,NA,"Doutorado em Engenharia de Produção pela Universidade Federal de Minas Gerais, Brasil(2017)",NA
Ives Cavalcante Passos ,NA,"Doutorado em Ciências Médicas pela Universidade Federal do Rio Grande do Sul, Brasil(2015)","Professor Adjunto da Universidade Federal do Rio Grande do Sul , Brasil"
Rafael Vergara Borges ,NA,"Doutorado em PhD. in Computer Science pela City University London, Inglaterra(2012)","Professor Temporário do Centro Universitário La Salle - Canoas , Brasil"
Teófilo Emidio de Campos ,NA,"Doutorado em Information Engineering pela University of Oxford, Inglaterra(2007)","Adjunct Professor da Universidade de Brasília , Brasil"
Pablo Alberto Dalbem de Castro ,NA,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(2009)","Professor do Instituto Federal de São Paulo , Brasil"
Rafael Coimbra Pinto ,NA,"Doutorado em Computação pela Universidade Federal do Rio Grande do Sul, Brasil(2017)","Professor do Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul , Brasil"
Julio Cesar Duarte ,NA,"Doutorado em Informática pela Pontifícia Universidade Católica do Rio de Janeiro, Brasil(2009)","Professor Titular do Instituto Militar de Engenharia , Brasil"
Marcio Luis Acencio ,NA,"Doutorado em Ciências Biológicas em Genética pelo Instituto de Biociências de Botucatu - UNESP, Brasil(2011)",NA
Juliana Silva Bernardes ,NA,"Doutorado em Engenharia de Sistemas e Computação pela Universidade Federal do Rio de Janeiro, Brasil(2012)","Professor Adjunto I do Université Pierre et Marie Curie , França"
João Fausto Lorenzato de Oliveira ,NA,"Doutorado em Ciências da Computação pela Universidade Federal de Pernambuco, Brasil(2016)","Professor Adjunto da Universidade de Pernambuco , Brasil"
Luis Oscar de Araujo Porto Henriques ,NA,"Doutorado em Engenharia Elétrica pela Universidade Federal do Rio de Janeiro, Brasil(2004)","Professor Titular - EBTT do Instituto Federal do Sudeste de Minas Gerais , Brasil"
Thiago Christiano Silva ,Bolsista de Produtividade em Pesquisa 2,"Doutorado em Ciências da Computação e Matemática Computacional pela Universidade de São Paulo, Brasil(2012)",NA
Alexsandro Fernandes da Fonseca ,NA,"Doutorado em Computação Cognitiva pelo Université du Québec à Montréal , Canadá(2018)",NA
Guilherme Jorge Maeda ,NA,"Doutorado em Field robotics pela The University of Sydney, Austrália(2013)",NA
Luís da Cunha Lamb ,Bolsista de Produtividade em Pesquisa 1B | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em PhD in Computing Science pela Imperial College London University Of London, Inglaterra(2000)","Professor Titular da Universidade Federal do Rio Grande do Sul , Brasil"
Anna Helena Reali Costa ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Engenharia Elétrica pela Universidade de São Paulo, Brasil(1994)","Professor Titular MS6 da Universidade de São Paulo , Brasil"
Lucia Specia ,NA,"Doutorado em Ciências da Computação e Matemática Computacional pela Universidade de São Paulo, Brasil(2007)",NA
Luiz Augusto Sangoi Pizzato ,NA,"Doutorado em Ciência da Computação pela Macquarie University, Austrália(2009)",NA
Orlando Shigueo Ohashi Junior ,NA,"Doutorado em Programa Doutoral Map-i pela Faculdade de Ciências da Universidade do Porto, Portugal(2013)","Professor Adjunto da Universidade Federal Rural da Amazônia , Brasil"
Evandro Brasil da Fonseca ,NA,"Doutorado em Ciência da Computação pela Pontifícia Universidade Católica do Rio Grande do Sul, Brasil(2018)",NA
Amélia Regina Somensi Zeggio ,NA,"Doutorado em Biotecnologia pela Universidade Federal de Santa Catarina, Brasil(2016)",NA
Marcos Abraão de Souza Fonseca ,NA,"Doutorado em Bioinformática pela Universidade de São Paulo, Brasil(2016)",NA
André Carlos Ponce de Leon Ferreira de Carvalho ,Bolsista de Produtividade em Pesquisa 1A | Orientador de Doutorado,"Doutorado em Electronic Engineering pela University of Kent, Inglaterra(1994)","Professor Titular da Universidade de São Paulo , Brasil"
Vanessa Gonçalves Vidotti Pimenta ,NA,"Doutorado em Ciências Médicas pela Universidade Estadual de Campinas, Brasil(2014)",NA
Joaquim Vinicius Carvalho Assunção ,NA,"Doutorado em Ciência da Computação pela Pontifícia Universidade Católica do Rio Grande do Sul, Brasil(2016)","Professor Adjunto da Universidade Federal de Santa Maria , Brasil"
Esther Camilo dos Reis ,NA,"Doutorado em Ciencias Biologicas (Genetica) pela Universidade Estadual Paulista Júlio de Mesquita Filho, Brasil(2015)",NA
Francisco Quevedo Camargo ,NA,NA,NA
Bianca Zadrozny ,NA,"Doutorado em Ciência da Computação pela University Of California San Diego, Estados Unidos(2003)",NA
Fabrício Lima Brasil ,NA,"Doutorado em Neural and Behavioral Sciences pela Max Planck Research School-University of Tübingen, Alemanha(2013)",NA
Leonardo Anjoletto Ferreira ,NA,"Doutorado em Engenharia Elétrica pela Fundação Educacional Inaciana Padre Sabóia de Medeiros, Brasil(2016)",NA
Ricardo Matsumura de Araújo ,NA,"Doutorado em Ciência da Computação pela Universidade Federal do Rio Grande do Sul, Brasil(2009)","Professor Adjunto da Universidade Federal de Pelotas , Brasil"
Ricardo Cerri ,NA,"Doutorado em Ciências da Computação e Matemática Computacional pela Universidade de São Paulo, Brasil(2013)","Professor Adjunto da Universidade Federal de São Carlos , Brasil"
Nina Sumiko Tomita Hirata ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Ciências da Computação pela Universidade de São Paulo, Brasil(2000)","Professor Associado da Universidade de São Paulo , Brasil"
Aline Villavicencio ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Phd In Computer Science pela University Of Cambridge, Grã-Bretanha(2003)",NA
André Ricardo Gonçalves ,NA,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(2016)",NA
Paulo Abelha Ferreira ,NA,"Doutorado em PhD in Computer Science pela University of Aberdeen, Escócia(2018)",NA
Uraquitan Sidney Gouveia Carneiro da Cunha ,NA,"Doutorado em Ciências da Computação pela Universidade Federal de Pernambuco, Brasil(2015)",NA
Vakulathil Abdurahiman ,NA,"Doutorado em Ciencia da Computacao pela Brunel University, Inglaterra(1994)","Professor Adjunto do Instituto Tecnológico de Aeronáutica , Brasil"
Adriano Velasque Werhli ,NA,"Doutorado em Informática pela University of Edinburgh, Escócia(2007)","Professor Adjunto III da Universidade Federal do Rio Grande , Brasil"
Ruy Luiz Milidiu ,NA,"Doutorado em Operations Research pela University of California, Berkeley, Estados Unidos(1985)",NA
Adriano Alonso Veloso ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Ciências da Computação pela Universidade Federal de Minas Gerais, Brasil(2009)","Professor Adjunto IV da Universidade Federal de Minas Gerais , Brasil"
Milton Roberto Heinen ,NA,"Doutorado em Computação pela Universidade Federal do Rio Grande do Sul, Brasil(2011)","Professor Adjunto III da Universidade Federal do Pampa , Brasil"
Caio Bruno Wetterich ,NA,"Doutorado em Física Básica pelo Instituto de Física de São Carlos, Brasil(2016)","Professor docente do IFNMG do Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais , Brasil"
Rinaldo José de Lima ,NA,"Doutorado em Ciências da Computação pela Universidade Federal de Pernambuco, Brasil(2014)","Professor Adjunto da Universidade Federal Rural de Pernambuco , Brasil"
Leandro Loss ,NA,"Doutorado em Engenharia Elétrica pela Universidade Federal de Santa Catarina, Brasil(2007)",NA
Erick Galani Maziero ,NA,"Doutorado em Ciencia da Computacao pela Universidade de São Paulo, Brasil(2016)","Professor Adjunto da Universidade Federal de Lavras , Brasil"
Roberta Macêdo Marques Gouveia ,NA,"Doutorado em Engenharia Mecânica pela Universidade Federal da Paraíba, Brasil(2012)","Professora da Universidade Federal Rural de Pernambuco , Brasil"
Saulo Pereira Ribeiro ,NA,"Doutorado em Engenharia de Sistemas e Computação pela Universidade Federal do Rio de Janeiro, Brasil(2010)","Professor Titular carga horária administrativ da Universidade Vila Velha , Brasil"
José Roberto Motta Garcia ,NA,"Doutorado em Computação Aplicada pelo Instituto Nacional de Pesquisas Espaciais, Brasil(2016)",NA
Renato Rodrigues Oliveira da Silva ,NA,"Doutorado em Ciências da Computação e Matemática Computacional pela Universidade de São Paulo, Brasil(2016)","Professor da Faculdade Impacta de Tecnologia , Brasil"
Joao Gari da Silva Fonseca Junior ,NA,"Doutorado em Mechanical and System Engineering pela Kobe University, Japão(2009)","Project Assistant Professor da University of Tokyo , Japão"
Maiko Fernandes Buzzi ,NA,"Doutorado em Métodos Numéricos em Engenharia pela Universidade Federal do Paraná, Brasil(2012)","Professor Adjunto da Universidade Tecnológica Federal do Paraná , Brasil"
Stelmo Magalhães Barros Netto ,NA,"Doutorado em Engenharia de Eletricidade pela Universidade Federal do Maranhão, Brasil(2016)",NA
Carlos Eduardo Ramisch ,NA,"Doutorado em Mathématiques, Sciences et Tech. de l'Information pelo Université de Grenoble, França(2012)",NA
Jorge Yoshio Kanda ,NA,"Doutorado em Ciências da Computação e Matemática Computacional pela Universidade de São Paulo, Brasil(2012)","Professor Adjunto da Universidade Federal do Amazonas , Brasil"
Rogerio Lopes Salvini ,NA,"Doutorado em Engenharia de Sistemas e Computação pela Universidade Federal do Rio de Janeiro, Brasil(2008)","Professor Adjunto da Universidade Federal de Goiás , Brasil"
Fernando Antonio de Carvalho Gomes ,NA,"Doutorado em Ciência da Computação pelo Université Montpellier 2 - Sciences et Techniques, França(1992)","Professor Associado IV da Universidade Federal do Ceará , Brasil"
Valquíria Aparecida Rosa Duarte ,NA,"Doutorado em Ciência da Computação pela Universidade Federal de Uberlândia, Brasil(2016)","Professora do UNA Uberlândia , Brasil"
Miguel Angelo Laporta Nicolelis ,NA,"Doutorado em Ciências (Fisiologia Geral) pela Universidade de São Paulo, Brasil(1989)",NA
Ronnie Cley de Oliveira Alves ,NA,"Doutorado em Informatica pela Universidade do Minho, Portugal(2008)",NA
Maria do Carmo Nicoletti ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Física Computacional pelo Instituto de Física de São Carlos - Universidade de São Paulo, Brasil(1994)",NA
Luciana Conceição Dias Campos ,NA,"Doutorado em Engenharia Elétrica pela Pontifícia Universidade Católica do Rio de Janeiro, Brasil(2010)","Professor Adjunto II da Universidade Federal de Juiz de Fora , Brasil"
Gerson Zaverucha ,Bolsista de Produtividade em Pesquisa 1D | Orientador de Doutorado,"Doutorado em Computer Science pelo Imperial College Of Science Technology And Medicine, Grã-Bretanha(1990)","Professor Titular da Universidade Federal do Rio de Janeiro , Brasil"
Edson Satoshi Gomi ,NA,"Doutorado em Engenharia Eletrônica pela The University Of Tokyo, Japão(1996)","Professor Doutor da Universidade de São Paulo , Brasil"
Bruno Feres de Souza ,NA,"Doutorado em Ciências da Computação e Matemática Computacional pela Universidade de São Paulo, Brasil(2010)",NA
